"expr","time","model","times"
"markov",7003362,"MARKOV-Y",0.007003362
"markov",6931582,"MARKOV-Y",0.006931582
"markov",6913045,"MARKOV-Y",0.006913045
"markov",6949469,"MARKOV-Y",0.006949469
"markov",6940147,"MARKOV-Y",0.006940147
"markov",7061177,"MARKOV-Y",0.007061177
"markov",9241822,"MARKOV-Y",0.009241822
"markov",6824374,"MARKOV-Y",0.006824374
"markov",6857771,"MARKOV-Y",0.006857771
"markov",6938189,"MARKOV-Y",0.006938189
"markov",7000960,"MARKOV-Y",0.00700096
"markov",7010009,"MARKOV-Y",0.007010009
"markov",6964384,"MARKOV-Y",0.006964384
"markov",6986291,"MARKOV-Y",0.006986291
"markov",7025580,"MARKOV-Y",0.00702558
"markov",6920784,"MARKOV-Y",0.006920784
"markov",6917825,"MARKOV-Y",0.006917825
"markov",6958961,"MARKOV-Y",0.006958961
"markov",6920583,"MARKOV-Y",0.006920583
"markov",9261768,"MARKOV-Y",0.009261768
"markov",6821272,"MARKOV-Y",0.006821272
"markov",6857187,"MARKOV-Y",0.006857187
"markov",6880035,"MARKOV-Y",0.006880035
"markov",6974176,"MARKOV-Y",0.006974176
"markov",7031614,"MARKOV-Y",0.007031614
"markov",7033496,"MARKOV-Y",0.007033496
"markov",7024535,"MARKOV-Y",0.007024535
"markov",6959210,"MARKOV-Y",0.00695921
"markov",6895465,"MARKOV-Y",0.006895465
"markov",6891928,"MARKOV-Y",0.006891928
"markov",6911151,"MARKOV-Y",0.006911151
"markov",6907296,"MARKOV-Y",0.006907296
"markov",6995481,"MARKOV-Y",0.006995481
"markov",9113968,"MARKOV-Y",0.009113968
"markov",6870076,"MARKOV-Y",0.006870076
"markov",6840313,"MARKOV-Y",0.006840313
"markov",6947493,"MARKOV-Y",0.006947493
"markov",7014967,"MARKOV-Y",0.007014967
"markov",6959973,"MARKOV-Y",0.006959973
"markov",7010371,"MARKOV-Y",0.007010371
"markov",6997580,"MARKOV-Y",0.00699758
"markov",6971814,"MARKOV-Y",0.006971814
"markov",6850762,"MARKOV-Y",0.006850762
"markov",6894719,"MARKOV-Y",0.006894719
"markov",6938028,"MARKOV-Y",0.006938028
"markov",6947738,"MARKOV-Y",0.006947738
"markov",9270924,"MARKOV-Y",0.009270924
"markov",6852943,"MARKOV-Y",0.006852943
"markov",6884114,"MARKOV-Y",0.006884114
"markov",6894796,"MARKOV-Y",0.006894796
"markov",7018726,"MARKOV-Y",0.007018726
"markov",7006191,"MARKOV-Y",0.007006191
"markov",6984213,"MARKOV-Y",0.006984213
"markov",7080174,"MARKOV-Y",0.007080174
"markov",7039902,"MARKOV-Y",0.007039902
"markov",6984846,"MARKOV-Y",0.006984846
"markov",6943555,"MARKOV-Y",0.006943555
"markov",6975483,"MARKOV-Y",0.006975483
"markov",6953598,"MARKOV-Y",0.006953598
"markov",9335032,"MARKOV-Y",0.009335032
"markov",6873451,"MARKOV-Y",0.006873451
"markov",6878385,"MARKOV-Y",0.006878385
"markov",6870019,"MARKOV-Y",0.006870019
"markov",7000812,"MARKOV-Y",0.007000812
"markov",7030875,"MARKOV-Y",0.007030875
"markov",6960852,"MARKOV-Y",0.006960852
"markov",6963410,"MARKOV-Y",0.00696341
"markov",6992402,"MARKOV-Y",0.006992402
"markov",6984781,"MARKOV-Y",0.006984781
"markov",6862637,"MARKOV-Y",0.006862637
"markov",6945176,"MARKOV-Y",0.006945176
"markov",6985678,"MARKOV-Y",0.006985678
"markov",6964149,"MARKOV-Y",0.006964149
"markov",437787095,"MARKOV-M",0.437787095
"markov",297397604,"MARKOV-M",0.297397604
"markov",292530983,"MARKOV-M",0.292530983
"markov",287903682,"MARKOV-M",0.287903682
"markov",290022539,"MARKOV-M",0.290022539
"markov",291210656,"MARKOV-M",0.291210656
"markov",430763086,"MARKOV-M",0.430763086
"markov",280962272,"MARKOV-M",0.280962272
"markov",314297444,"MARKOV-M",0.314297444
"markov",278626987,"MARKOV-M",0.278626987
"markov",278855461,"MARKOV-M",0.278855461
"markov",278156552,"MARKOV-M",0.278156552
"markov",343622574,"MARKOV-M",0.343622574
"markov",316394112,"MARKOV-M",0.316394112
"markov",308569215,"MARKOV-M",0.308569215
"markov",309286256,"MARKOV-M",0.309286256
"markov",309518959,"MARKOV-M",0.309518959
"markov",309945990,"MARKOV-M",0.30994599
"markov",309192451,"MARKOV-M",0.309192451
"markov",311104690,"MARKOV-M",0.31110469
"markov",311626214,"MARKOV-M",0.311626214
"markov",313509701,"MARKOV-M",0.313509701
"markov",308939931,"MARKOV-M",0.308939931
"markov",328212675,"MARKOV-M",0.328212675
"markov",313822577,"MARKOV-M",0.313822577
"markov",312285536,"MARKOV-M",0.312285536
"markov",309077300,"MARKOV-M",0.3090773
"markov",454065249,"MARKOV-M",0.454065249
"markov",305314754,"MARKOV-M",0.305314754
"markov",305342871,"MARKOV-M",0.305342871
"markov",303786119,"MARKOV-M",0.303786119
"markov",305551109,"MARKOV-M",0.305551109
"markov",305407162,"MARKOV-M",0.305407162
"markov",362811062,"MARKOV-M",0.362811062
"markov",281468812,"MARKOV-M",0.281468812
"markov",282285795,"MARKOV-M",0.282285795
"markov",283621588,"MARKOV-M",0.283621588
"markov",285100918,"MARKOV-M",0.285100918
"markov",283682782,"MARKOV-M",0.283682782
"markov",282306060,"MARKOV-M",0.28230606
"markov",287085872,"MARKOV-M",0.287085872
"markov",282733824,"MARKOV-M",0.282733824
"markov",282026991,"MARKOV-M",0.282026991
"markov",282527297,"MARKOV-M",0.282527297
"markov",284087925,"MARKOV-M",0.284087925
"markov",301462257,"MARKOV-M",0.301462257
"markov",285242191,"MARKOV-M",0.285242191
"markov",407234376,"MARKOV-M",0.407234376
"markov",284279678,"MARKOV-M",0.284279678
"markov",280181644,"MARKOV-M",0.280181644
"markov",280658395,"MARKOV-M",0.280658395
"markov",281141254,"MARKOV-M",0.281141254
"markov",281471287,"MARKOV-M",0.281471287
"markov",281163386,"MARKOV-M",0.281163386
"markov",292037676,"MARKOV-M",0.292037676
"markov",290868280,"MARKOV-M",0.29086828
"markov",282728778,"MARKOV-M",0.282728778
"markov",281180076,"MARKOV-M",0.281180076
"markov",280729356,"MARKOV-M",0.280729356
"markov",283429579,"MARKOV-M",0.283429579
"markov",285435387,"MARKOV-M",0.285435387
"markov",299434336,"MARKOV-M",0.299434336
"markov",283087831,"MARKOV-M",0.283087831
"markov",281579307,"MARKOV-M",0.281579307
"markov",284976347,"MARKOV-M",0.284976347
"markov",283517324,"MARKOV-M",0.283517324
"markov",283885008,"MARKOV-M",0.283885008
"markov",286777439,"MARKOV-M",0.286777439
"markov",286411642,"MARKOV-M",0.286411642
"markov",283207623,"MARKOV-M",0.283207623
"markov",283607559,"MARKOV-M",0.283607559
"markov",396360473,"MARKOV-M",0.396360473
"markov",278860877,"MARKOV-M",0.278860877
"markov",279649331,"MARKOV-M",0.279649331
"markov",301131848,"MARKOV-M",0.301131848
"markov",282276840,"MARKOV-M",0.28227684
"markov",283743552,"MARKOV-M",0.283743552
"markov",282543435,"MARKOV-M",0.282543435
"markov",286721850,"MARKOV-M",0.28672185
"markov",284044434,"MARKOV-M",0.284044434
"markov",282886371,"MARKOV-M",0.282886371
"markov",284027213,"MARKOV-M",0.284027213
"markov",283629514,"MARKOV-M",0.283629514
"markov",282960676,"MARKOV-M",0.282960676
"markov",284511184,"MARKOV-M",0.284511184
"markov",282056615,"MARKOV-M",0.282056615
"markov",283135677,"MARKOV-M",0.283135677
"markov",288265557,"MARKOV-M",0.288265557
"markov",285310029,"MARKOV-M",0.285310029
"markov",284438939,"MARKOV-M",0.284438939
"markov",284418870,"MARKOV-M",0.28441887
"markov",398707521,"MARKOV-M",0.398707521
"markov",278836074,"MARKOV-M",0.278836074
"markov",279415230,"MARKOV-M",0.27941523
"markov",300939798,"MARKOV-M",0.300939798
"markov",282617687,"MARKOV-M",0.282617687
"markov",287155283,"MARKOV-M",0.287155283
"markov",283180503,"MARKOV-M",0.283180503
"markov",282390576,"MARKOV-M",0.282390576
"markov",282106400,"MARKOV-M",0.2821064
"markov1d",526885230796,"MARKOV-D",526.885230796
"markov1d",494694469816,"MARKOV-D",494.694469816
"markov1d",505023907823,"MARKOV-D",505.023907823
"markov1d",500180218912,"MARKOV-D",500.180218912
"markov1d",497386335552,"MARKOV-D",497.386335552
"markov1d",496998770265,"MARKOV-D",496.998770265
"markov1d",503064333346,"MARKOV-D",503.064333346
"markov1d",499513553338,"MARKOV-D",499.513553338
"markov1d",509040474509,"MARKOV-D",509.040474509
"markov1d",520731500028,"MARKOV-D",520.731500028
"markov1d",519521023633,"MARKOV-D",519.521023633
"markov1d",526453370408,"MARKOV-D",526.453370408
